,Open,High,Low,Close
,25417.11,25432.94,24895.49,24966.4
,24957.24,25079.35,24835.56,24900.46
,25062.06,25358.84,25055.42,25338.58
,25364.75,25479.62,25223.22,25341.86
,25301.7,25354.94,25119.35,25269.64
,25333.98,25424.15,25223.49,25399.65
,25372.44,25372.44,24837.51,24883.59
,24978.86,25000.65,24834.16,24900.63
,24998.79,25013.13,24647.48,24685.42
,24665.8,24736.03,24608.51,24673.84
,24789.4,25049.92,24523.2,25022.16
,25056.47,25180.02,24996.44,25145.59
,25358.42,25671.5,25358.42,25626.75
,25833.16,25870.03,25634.12,25816.36
,25942.34,25956.34,25716.81,25844.18
,25979.68,26080.07,25783.12,25880.38
,25892.49,25922.02,25771.88,25838.14
,25891.03,25891.03,25585.93,25678.93
,25604.92,26055,25549.05,26007.3
,25956.42,26092.93,25885.24,26064.12
,26078.28,26100.54,25561.17,25603.1
,25612.91,25755.43,25424.03,25606.62
,25565.44,25565.44,25341.14,25436.97
,25500.14,25705.96,25192.94,25229.7
,25210.87,25245.7,25061.04,25101.73
,25187.66,25394.1,25162.94,25262.21
,25223.67,25260.48,25057.93,25228.5
,25321.83,25709.68,25302.86,25688.86
,25682.98,25809.93,25614.24,25772.53
,25548.97,25762.49,25409.24,25597.02
,25684.6,25827.03,25620.27,25790.22
,25739.94,25743.69,25400.27,25489.57
,25528.8,25688.46,25351.62,25653.23
,25756.14,25927.31,25733.76,25773.61
,25671.48,25747,25503.4,25704.61
,25713.84,25714.56,25351.99,25399.72
,25428.42,25506.06,25251.9,25301.9
,25447.72,25519.26,25207.78,25230.36
,25256.97,25340.47,25181.47,25305.47
,25432.1,25897.87,25430.59,25881.17
,26008.25,26398.94,25941.51,26366.68
,26415.93,26677.43,26405.28,26653.6
,26694.75,26794.96,26623.33,26725.6
,26817.75,26837.2,26561.58,26667.96
,26684.46,26857.25,26671.86,26713.93
,26694.28,26885.16,26641.02,26843.14
,26919.23,27008.14,26792.07,26843.03
,26897.84,26901.42,26729.54,26777.45
,26833.54,27082.63,26829.53,27009.67
,27085.24,27105.41,26973.71,27020.66
,26994.48,26994.91,26692.35,26763.46
,26742.26,26972.06,26620.5,26635.75
,26468.27,26468.27,26262.27,26396.77
,26482.5,26485.45,26264.81,26395.71
,26500.79,26752.59,26446.59,26726.34
,26686.03,26686.03,26314.91,26525.46
,26653.85,26730.55,26538.51,26625.91
,26497.11,26885.49,26447.88,26866.92
,26907.42,26925.64,26754.6,26812.78
,26791.68,26887.29,26617.45,26765.65
,26753.2,27060.98,26736.52,27002.22
,26367.48,26435.85,25911.33,26397.71
,26347.81,26493.51,26262.72,26402.96
,26410.66,26583.33,26378.46,26524.55
,26627.15,26776.17,26606.31,26740.39
,26926.17,27069.23,26872.59,26999.72
,27064.33,27243.36,27061.4,27144.91
,27314.44,27385.66,27251.06,27278.76
,27340.72,27348.66,27127.3,27166.87
,27209.97,27288.22,27146.95,27201.49
,27292.2,27294.82,27034.14,27126.9
,27358.23,27647.48,27358.23,27626.69
,27667.81,27828.74,27667.81,27808.14
,27912.14,27928.76,27752.14,27815.18
,27857.8,27967.77,27763.15,27942.11
,27966.14,28048.7,27735.87,27836.5
,27920.66,28013.5,27697.69,27746.66
,27790.05,27826.69,27637.98,27787.62
,27775.7,27935.18,27759.71,27915.89
,27980.07,27988.76,27687.54,27710.52
,27721.72,27832.45,27646.21,27803.24
,27753.96,28110.37,27736.51,28095.34
,28121.37,28149.53,27927.13,27976.52
,27976.14,28210.88,27899.93,28024.33
,28108.78,28240.2,28064.9,28208.62
,28232.87,28233.47,28037.87,28051.86
,28083.08,28284.85,27873.53,28003.12
,28069.12,28175.22,27943.91,27981.71
,28008.52,28015.43,27647.14,27697.51
,27899.88,27921.91,27627.97,27714.37
,27810.55,28110.37,27795.74,28078.35
,28181.92,28226.38,28128.06,28182.57
,28289.22,28289.96,27956.77,28085.16
,28133.36,28143.28,27736.62,27774.88
,27805.94,27902.39,27697.33,27859.6
,27919.95,28203.27,27900.91,28152.4
,28190.04,28199.1,27942.65,28064.61
,28061.79,28174.3,27960.14,28005.37
,28077.64,28214.17,28077,28123.44
,28167.66,28212.3,28026.12,28077
,28088.07,28143.28,27918.05,27985.54
,28012.56,28028.98,27854.43,27990.21
,28065.25,28108.39,27959.87,28059.94
,28103.6,28154.21,27803.24,27835.91
,27882.75,27935.88,27696.99,27782.25
,27827.26,27952.85,27698.71,27902.66
,28012.46,28478.02,28010.66,28343.01
,28372.25,28532.25,28363.1,28452.17
,28459.09,28548.85,28386.61,28423.48
,28498.72,28581.58,28427.63,28532.11
,28631.27,29013.4,28631.27,28978.02
,29035.67,29067.84,28911.31,28926.36
,28929.46,29077.28,28854.56,29045.28
,29062.9,29062.9,28755.08,28797.25
,28481.09,28481.11,28251.31,28353.54
,28345.49,28416.41,28259.38,28372.23
,28398.33,28454.02,28311.11,28412.89
,28520.3,28778.64,28494.59,28599.03
,28626.6,28714.77,28552.55,28634.5
,28690.66,28698.81,28480.53,28523.2
,28554.38,28689.36,28462.33,28507.42
,28766.94,28871.92,28693.07,28773.13
,28810.32,28825.09,28627.38,28668.22
